"Site_Num","Site_Type","Date","Time","Temperature_C","pH","Conductivity","Dissolved_Oxygen_Saturation","Dissolved_Oxygen_Volume","Chlorophyll"
7,"Red",2024-07-10,12H 47M 0S,24.46,6.48,74,21.1,1.75,3.71
7,"Red",2024-07-10,1H 47M 0S,24.36,6.58,73.1,36.6,3.05,3.15
7,"Red",2024-07-10,2H 47M 0S,24.48,6.6,73.6,37.7,3.14,3.02
7,"Red",2024-07-10,3H 47M 0S,24.64,6.63,74,42.1,3.5,3.19
7,"Red",2024-07-10,4H 47M 0S,24.9,6.67,75.8,44.6,3.69,3.17
7,"Red",2024-07-10,5H 47M 0S,24.88,6.75,78,54,4.46,2.94
7,"Red",2024-07-10,6H 47M 0S,24.59,6.75,77,49.1,4.08,2.83
7,"Red",2024-07-10,7H 47M 0S,24.49,6.74,78.5,46.4,3.86,2.52
7,"Red",2024-07-10,8H 47M 0S,24.34,6.71,80.1,39.8,3.32,2.48
7,"Red",2024-07-10,9H 47M 0S,24.19,6.7,80.5,38.1,3.19,2.29
7,"Red",2024-07-10,10H 47M 0S,23.87,6.63,78.8,30.6,2.57,2.33
7,"Red",2024-07-10,11H 47M 0S,23.7,6.57,79.2,21.1,1.78,2.4
7,"Red",2024-07-11,12H 47M 0S,23.55,6.53,80.6,17.3,1.46,2.2
7,"Red",2024-07-11,1H 47M 0S,23.4,6.5,80.2,13.9,1.18,2.29
7,"Red",2024-07-11,2H 47M 0S,23.24,6.48,80,4.2,0.36,2.32
7,"Red",2024-07-11,3H 47M 0S,23.09,6.47,80.2,0,0,2.31
7,"Red",2024-07-11,4H 47M 0S,22.92,6.46,79.9,0,0,2.33
7,"Red",2024-07-11,5H 47M 0S,22.83,6.45,79.4,0,0,2.46
7,"Red",2024-07-11,6H 47M 0S,22.68,6.46,79.8,0,0,2.65
7,"Red",2024-07-11,7H 47M 0S,22.68,6.55,85.7,17.4,1.5,2.98
7,"Red",2024-07-11,8H 47M 0S,22.61,6.47,79.2,0,0,2.75
7,"Red",2024-07-11,9H 47M 0S,22.6,6.45,79.1,0,0,2.92
7,"Red",2024-07-11,10H 47M 0S,22.68,6.46,80.2,0,0,2.72
7,"Red",2024-07-11,11H 47M 0S,22.82,6.48,81,0.7,0.06,2.7
7,"Red",2024-07-11,12H 47M 0S,23.05,6.5,81.6,17.6,1.5,2.73
7,"Red",2024-07-11,1H 47M 0S,23.26,6.52,82.6,17.6,1.5,2.72
7,"Red",2024-07-11,2H 47M 0S,23.51,6.56,84.6,18.5,1.57,2.61
7,"Red",2024-07-11,3H 47M 0S,23.9,6.62,88.3,22.9,1.93,2.89
7,"Red",2024-07-11,4H 47M 0S,24.05,6.66,91.5,25.8,2.17,2.75
7,"Red",2024-07-11,5H 47M 0S,24.02,6.67,96.5,21.6,1.82,2.72
7,"Red",2024-07-11,6H 47M 0S,24.18,6.86,99,54.2,4.54,3.09
7,"Red",2024-07-11,7H 47M 0S,24.17,6.87,98.6,51.1,4.27,3.19
7,"Red",2024-07-11,8H 47M 0S,24.04,6.85,97,50.6,4.25,2.88
7,"Red",2024-07-11,9H 47M 0S,23.82,6.84,98,50.2,4.23,2.98
7,"Red",2024-07-11,10H 47M 0S,23.69,6.81,98.2,43.7,3.69,2.5
7,"Red",2024-07-11,11H 47M 0S,23.6,6.79,100.2,41.7,3.53,2.56
7,"Red",2024-07-12,12H 47M 0S,23.61,6.8,101.7,41.5,3.51,2.54
7,"Red",2024-07-12,1H 47M 0S,23.6,6.82,104.7,44,3.73,2.57
7,"Red",2024-07-12,2H 47M 0S,23.62,6.83,108.3,42.7,3.61,2.6
7,"Red",2024-07-12,3H 47M 0S,23.57,6.81,111.4,35.4,3,2.53
7,"Red",2024-07-12,4H 47M 0S,23.48,6.82,114.7,34.9,2.96,2.56
7,"Red",2024-07-12,5H 47M 0S,23.35,6.85,115.7,40.8,3.47,2.65
7,"Red",2024-07-12,6H 47M 0S,23.31,6.9,113.1,49.1,4.17,3.15
7,"Red",2024-07-12,7H 47M 0S,23.41,6.98,108.6,58.7,4.98,2.94
7,"Red",2024-07-12,8H 47M 0S,23.62,7.03,104.9,64.7,5.48,3.2
7,"Red",2024-07-12,9H 47M 0S,23.74,7.01,103.7,63.2,5.34,3.1
7,"Red",2024-07-12,10H 47M 0S,23.82,7.02,102.3,64.6,5.44,3.04
7,"Red",2024-07-12,11H 47M 0S,23.93,6.93,102.2,51.6,4.34,2.93
7,"Red",2024-07-12,12H 47M 0S,23.95,6.93,102.6,54.8,4.61,2.83
7,"Red",2024-07-12,1H 47M 0S,23.91,6.99,104,59.7,5.02,2.84
7,"Red",2024-07-12,2H 47M 0S,24.01,7.04,105.6,66.7,5.6,3.06
7,"Red",2024-07-12,3H 47M 0S,24.11,7,106.3,60.4,5.06,2.92
7,"Red",2024-07-12,4H 47M 0S,24.26,6.97,106.4,63.6,5.31,2.69
7,"Red",2024-07-12,5H 47M 0S,24.49,7.08,105.8,72.5,6.03,2.69
7,"Red",2024-07-12,6H 47M 0S,24.51,7.06,105.8,68.9,5.73,2.35
7,"Red",2024-07-12,7H 47M 0S,24.49,7.03,105,66.1,5.5,2.42
7,"Red",2024-07-12,8H 47M 0S,24.33,7.06,104.5,69.6,5.81,2.29
7,"Red",2024-07-12,9H 47M 0S,24.04,6.96,104.3,58.6,4.92,2.41
7,"Red",2024-07-12,10H 47M 0S,23.81,6.93,103.4,58,4.89,2.31
7,"Red",2024-07-12,11H 47M 0S,23.61,6.93,101.3,59.1,5,2.2
7,"Red",2024-07-13,1H 47M 0S,23.24,6.94,95.6,61,5.2,3.25
7,"Red",2024-07-13,2H 47M 0S,23.14,6.93,92.5,61.3,5.23,3.2
7,"Red",2024-07-13,3H 47M 0S,23,6.92,89.1,61.4,5.25,3.1
7,"Red",2024-07-13,4H 47M 0S,22.88,6.9,86.3,59.7,5.12,3.13
7,"Red",2024-07-13,5H 47M 0S,22.71,6.87,83.4,58.3,5.02,3.02
7,"Red",2024-07-13,6H 47M 0S,22.71,6.88,80.8,59.7,5.13,3.13
7,"Red",2024-07-13,7H 47M 0S,22.75,6.92,78.1,65.7,5.65,3.31
7,"Red",2024-07-13,8H 47M 0S,22.84,6.94,76.5,66.8,5.73,3.68
7,"Red",2024-07-13,9H 47M 0S,22.91,6.95,75.6,68.1,5.84,3.18
7,"Red",2024-07-13,10H 47M 0S,22.98,6.96,75,69.6,5.96,3.03
7,"Red",2024-07-13,11H 47M 0S,23.09,6.96,74.5,72.4,6.18,3.16
7,"Red",2024-07-13,12H 47M 0S,23.2,6.94,74.6,69.8,5.95,2.79
7,"Red",2024-07-13,1H 47M 0S,23.34,6.94,74.2,70.3,5.98,2.65
7,"Red",2024-07-13,2H 47M 0S,23.46,6.93,73.9,68.7,5.83,2.65
7,"Red",2024-07-13,3H 47M 0S,23.63,6.94,73.9,72.7,6.15,2.48
7,"Red",2024-07-13,4H 47M 0S,23.77,6.98,74.1,74.1,6.25,2.54
7,"Red",2024-07-13,5H 47M 0S,23.8,6.97,72.6,73.2,6.17,2.49
7,"Red",2024-07-13,6H 47M 0S,23.82,6.95,71.5,72.4,6.1,2.51
7,"Red",2024-07-13,7H 47M 0S,23.84,6.95,70.7,72.1,6.07,2.45
7,"Red",2024-07-13,8H 47M 0S,23.62,6.9,70.1,67.7,5.73,2.37
7,"Red",2024-07-13,9H 47M 0S,23.33,6.86,69.4,63.8,5.43,2.08
7,"Red",2024-07-13,10H 47M 0S,23.21,6.83,68.9,62.3,5.31,2.21
7,"Red",2024-07-13,11H 47M 0S,23.14,6.83,68.7,62.7,5.35,3.52
7,"Red",2024-07-14,12H 47M 0S,23.02,6.81,68.4,62.8,5.37,3.36
7,"Red",2024-07-14,1H 47M 0S,22.93,6.82,68,63.6,5.45,3.49
7,"Red",2024-07-14,2H 47M 0S,22.87,6.84,67.7,65.1,5.59,3.27
7,"Red",2024-07-14,3H 47M 0S,22.79,6.81,67.4,62.4,5.36,3.49
7,"Red",2024-07-14,4H 47M 0S,22.75,6.82,67.2,62,5.33,3.42
7,"Red",2024-07-14,5H 47M 0S,22.74,6.83,66.8,63.1,5.43,3.27
7,"Red",2024-07-14,6H 47M 0S,22.7,6.84,66.5,62.8,5.41,3.31
7,"Red",2024-07-14,7H 47M 0S,22.85,6.87,66.1,66,5.67,3.35
7,"Red",2024-07-14,8H 47M 0S,23.04,6.89,66,69.2,5.92,3.31
7,"Red",2024-07-14,9H 47M 0S,23.19,6.88,66.1,67.5,5.76,3.44
7,"Red",2024-07-14,10H 47M 0S,23.29,6.88,66.1,68,5.79,3.49
7,"Red",2024-07-14,11H 47M 0S,23.43,6.9,66,72.1,6.12,3.25
7,"Red",2024-07-14,12H 47M 0S,23.53,6.93,65.9,72.7,6.16,2.98
7,"Red",2024-07-14,1H 47M 0S,23.69,6.9,65.9,71.6,6.05,3.05
7,"Red",2024-07-14,2H 47M 0S,23.87,6.89,65.8,71.2,5.99,3.33
7,"Red",2024-07-14,3H 47M 0S,24.13,6.89,66.1,70.7,5.93,3.2
7,"Red",2024-07-14,4H 47M 0S,24.21,6.88,66.2,71.2,5.95,3.2
2,"Green",2024-07-08,12H 13M 25S,26.25,7.2,81,59.3,4.22,2.48
2,"Green",2024-07-08,1H 13M 25S,26.67,7.17,81,64.3,4.54,2.76
2,"Green",2024-07-08,2H 13M 25S,27.03,7.18,82,60.6,4.25,3.01
2,"Green",2024-07-08,3H 13M 25S,26.72,7.15,82,66.9,4.72,3.08
2,"Green",2024-07-08,4H 13M 25S,26.66,7.16,82,73.5,5.2,3.2
2,"Green",2024-07-08,5H 13M 25S,27.03,7.18,82,71.3,5.01,3.37
2,"Green",2024-07-08,6H 13M 25S,27.05,7.17,82,68.4,4.8,3.24
2,"Green",2024-07-08,7H 13M 25S,26.93,7.16,82,70.1,4.93,3.41
2,"Green",2024-07-08,8H 13M 25S,27.12,7.18,82,68.3,4.79,3.22
2,"Green",2024-07-08,9H 13M 25S,27.08,7.2,82,69.1,4.84,3.68
2,"Green",2024-07-08,10H 13M 25S,27.21,7.15,82,71.8,5.02,3.46
2,"Green",2024-07-08,11H 13M 25S,27.22,7.18,83,72.3,5.06,3.62
2,"Green",2024-07-09,12H 13M 25S,26.99,7.14,83,65.1,4.57,3.46
2,"Green",2024-07-09,1H 13M 25S,26.81,7.14,83,68.6,4.83,3.23
2,"Green",2024-07-09,2H 13M 25S,26.73,7.15,82,71.5,5.05,3.09
2,"Green",2024-07-09,3H 13M 25S,26.65,7.13,82,71.3,5.04,3.06
2,"Green",2024-07-09,4H 13M 25S,26.67,7.12,82,74.7,5.27,2.86
2,"Green",2024-07-09,5H 13M 25S,26.64,7.14,82,72.5,5.13,3.26
2,"Green",2024-07-09,6H 13M 25S,26.62,7.13,82,72.3,5.11,2.98
2,"Green",2024-07-09,7H 13M 25S,26.69,7.12,82,72.5,5.12,3.06
2,"Green",2024-07-09,8H 13M 25S,26.82,7.15,82,75.5,5.32,2.75
2,"Green",2024-07-09,9H 13M 25S,26.89,7.17,82,72.8,5.12,2.84
2,"Green",2024-07-09,10H 13M 25S,26.79,7.17,82,62.1,4.38,2.98
2,"Green",2024-07-09,11H 13M 25S,26.69,7.15,82,68.5,4.84,2.44
2,"Green",2024-07-09,12H 13M 25S,26.59,7.14,82,58.3,4.12,2.26
2,"Green",2024-07-09,1H 13M 25S,26.51,7.14,82,64.7,4.58,2.26
2,"Green",2024-07-09,2H 13M 25S,26.8,7.15,83,65.7,4.63,2.58
2,"Green",2024-07-09,3H 13M 25S,26.92,7.14,83,59,4.15,2.99
2,"Green",2024-07-09,4H 13M 25S,27.43,7.17,83,67.2,4.69,4.08
2,"Green",2024-07-09,5H 13M 25S,27.32,7.2,83,70.8,4.95,3.68
2,"Green",2024-07-09,6H 13M 25S,27.4,7.21,83,66.9,4.66,3.68
2,"Green",2024-07-09,7H 13M 25S,27.53,7.22,83,72.3,5.03,4.35
2,"Green",2024-07-09,8H 13M 25S,27.49,7.17,84,67.2,4.68,4.04
2,"Green",2024-07-09,9H 13M 25S,27.38,7.16,84,68.3,4.76,4.16
2,"Green",2024-07-09,10H 13M 25S,27.16,7.07,84,64.1,4.49,4.11
2,"Green",2024-07-09,11H 13M 25S,27,7.06,84,63.3,4.44,3.51
2,"Green",2024-07-10,12H 13M 25S,26.82,7.1,84,67.1,4.73,3.46
2,"Green",2024-07-10,1H 13M 25S,26.8,7.08,84,64,4.51,3.34
2,"Green",2024-07-10,2H 13M 25S,26.69,7.07,85,62.4,4.41,3.42
2,"Green",2024-07-10,3H 13M 25S,26.68,7.11,85,67.9,4.8,3.71
2,"Green",2024-07-10,4H 13M 25S,26.56,7.09,85,69.3,4.9,2.9
2,"Green",2024-07-10,5H 13M 25S,26.63,7.12,85,69.7,4.93,2.9
2,"Green",2024-07-10,6H 13M 25S,26.68,7.13,85,72.5,5.12,3
2,"Green",2024-07-10,7H 13M 25S,26.67,7.14,86,71.2,5.03,3.17
2,"Green",2024-07-10,8H 13M 25S,26.7,7.18,86,72.5,5.12,3.27
2,"Green",2024-07-10,9H 13M 25S,26.71,7.21,87,70.6,4.98,3.15
2,"Green",2024-07-10,10H 13M 25S,26.58,7.16,87,68.6,4.85,3.29
2,"Green",2024-07-10,11H 13M 25S,26.42,7.18,87,69.1,4.9,3.23
2,"Green",2024-07-10,12H 13M 25S,26.19,7.19,87,72,5.13,3.07
2,"Green",2024-07-10,1H 13M 25S,25.98,7.16,87,69.6,4.98,3.05
2,"Green",2024-07-10,2H 13M 25S,26.09,7.19,88,72.4,5.17,3.03
2,"Green",2024-07-10,3H 13M 25S,26.13,7.21,88,71.6,5.11,2.91
2,"Green",2024-07-10,4H 13M 25S,26.18,7.24,88,71.3,5.08,3.11
2,"Green",2024-07-10,5H 13M 25S,25.91,7.18,91,66.6,4.77,3.29
2,"Green",2024-07-10,6H 13M 25S,25.83,7.17,92,69.1,4.96,2.92
2,"Green",2024-07-10,7H 13M 25S,25.65,7.18,92,69,4.97,2.66
2,"Green",2024-07-10,8H 13M 25S,25.42,7.17,97,68.3,4.94,2.68
2,"Green",2024-07-10,9H 13M 25S,25.58,7.19,96,69.6,5.02,2.71
2,"Green",2024-07-10,10H 13M 25S,25.58,7.23,92,71.9,5.18,2.57
2,"Green",2024-07-10,11H 13M 25S,25.28,7.18,98,69.4,5.02,2.59
2,"Green",2024-07-11,12H 13M 25S,25.14,7.19,100,68.5,4.97,2.52
2,"Green",2024-07-11,1H 13M 25S,25.03,7.19,99,66.7,4.85,2.55
2,"Green",2024-07-11,2H 13M 25S,24.96,7.18,98,66.3,4.83,2.59
2,"Green",2024-07-11,3H 13M 25S,24.71,7.15,106,63.5,4.65,2.59
2,"Green",2024-07-11,4H 13M 25S,24.82,7.17,93,66.7,4.87,2.47
2,"Green",2024-07-11,5H 13M 25S,24.67,7.16,98,65.2,4.78,2.59
2,"Green",2024-07-11,6H 13M 25S,24.5,7.14,101,57.7,4.24,2.7
2,"Green",2024-07-11,7H 13M 25S,24.42,7.13,98,63,4.64,2.58
2,"Green",2024-07-11,8H 13M 25S,24.15,7.11,106,56.2,4.16,3.12
2,"Green",2024-07-11,9H 13M 25S,24.04,7.1,108,50.6,3.75,2.88
2,"Green",2024-07-11,10H 13M 25S,24.06,7.09,103,57.5,4.26,2.75
2,"Green",2024-07-11,11H 13M 25S,23.94,7.09,108,50.8,3.77,2.79
2,"Green",2024-07-11,12H 13M 25S,24.01,7.08,103,56.1,4.16,2.81
2,"Green",2024-07-11,1H 13M 25S,24.03,7.08,104,50.9,3.77,2.81
2,"Green",2024-07-11,2H 13M 25S,24.09,7.1,103,51.8,3.84,2.68
2,"Green",2024-07-11,3H 13M 25S,24.16,7.09,104,54.6,4.04,2.68
2,"Green",2024-07-11,4H 13M 25S,24.21,7.1,105,49.9,3.68,2.53
2,"Green",2024-07-11,5H 13M 25S,24.27,7.12,105,51.4,3.8,2.64
2,"Green",2024-07-11,6H 13M 25S,24.25,7.12,107,53.5,3.95,2.8
2,"Green",2024-07-11,7H 13M 25S,24.28,7.13,107,51.8,3.82,2.81
2,"Green",2024-07-11,8H 13M 25S,24.27,7.13,107,50,3.69,2.83
2,"Green",2024-07-11,9H 13M 25S,24.27,7.15,109,48.8,3.6,2.67
2,"Green",2024-07-11,10H 13M 25S,24.25,7.16,113,50.8,3.75,2.6
2,"Green",2024-07-11,11H 13M 25S,24.19,7.17,116,48.3,3.57,2.75
2,"Green",2024-07-12,12H 13M 25S,24.04,7.18,121,45.4,3.36,2.63
2,"Green",2024-07-12,1H 13M 25S,23.88,7.2,121,50,3.72,2.7
2,"Green",2024-07-12,2H 13M 25S,23.78,7.19,121,48.4,3.6,2.5
2,"Green",2024-07-12,3H 13M 25S,23.73,7.19,119,47.8,3.56,2.5
2,"Green",2024-07-12,4H 13M 25S,23.69,7.18,118,47,3.51,2.63
2,"Green",2024-07-12,5H 13M 25S,23.73,7.18,113,53,3.95,3.11
2,"Green",2024-07-12,6H 13M 25S,23.77,7.19,110,50.1,3.73,2.9
2,"Green",2024-07-12,7H 13M 25S,23.82,7.18,108,53.8,4,2.84
2,"Green",2024-07-12,8H 13M 25S,23.83,7.15,106,54.9,4.09,2.77
2,"Green",2024-07-12,9H 13M 25S,23.88,7.16,105,54.1,4.02,2.92
2,"Green",2024-07-12,10H 13M 25S,23.94,7.16,109,53.3,3.96,2.8
2,"Green",2024-07-12,11H 13M 25S,23.98,7.18,107,48.9,3.63,2.75
2,"Green",2024-07-12,12H 13M 25S,24,7.17,107,52.8,3.92,2.76
2,"Green",2024-07-12,1H 13M 25S,24.08,7.16,109,54.5,4.04,2.72
2,"Green",2024-07-12,2H 13M 25S,24.09,7.18,109,51,3.78,2.65
2,"Green",2024-07-12,3H 13M 25S,24.4,7.17,111,54.9,4.04,2.46
2,"Green",2024-07-12,4H 13M 25S,24.31,7.17,107,55.2,4.07,2.6
2,"Green",2024-07-12,5H 13M 25S,24.37,7.17,107,51.3,3.78,2.25
2,"Green",2024-07-12,6H 13M 25S,24.36,7.16,106,56.2,4.14,2.76
2,"Green",2024-07-12,7H 13M 25S,24.31,7.16,106,55.4,4.08,2.25
2,"Green",2024-07-12,8H 13M 25S,24.18,7.16,106,56.3,4.16,2.33
2,"Green",2024-07-12,9H 13M 25S,24.09,7.13,106,56.2,4.16,2.28
2,"Green",2024-07-12,10H 13M 25S,23.92,7.13,105,54.1,4.02,2.33
2,"Green",2024-07-12,11H 13M 25S,23.76,7.13,101,56.4,4.2,2.34
2,"Green",2024-07-13,12H 13M 25S,23.6,7.14,97,50.9,3.8,2.08
2,"Green",2024-07-13,1H 13M 25S,23.46,7.12,93,56.5,4.23,2.38
2,"Green",2024-07-13,2H 13M 25S,23.33,7.12,90,55.3,4.15,2.46
2,"Green",2024-07-13,3H 13M 25S,23.22,7.1,87,55.3,4.16,2.3
2,"Green",2024-07-13,4H 13M 25S,23.11,7.05,88,55.8,4.21,2.16
2,"Green",2024-07-13,5H 13M 25S,23.02,7.08,82,53.1,4.01,2.22
2,"Green",2024-07-13,6H 13M 25S,22.94,7.04,82,56.2,4.25,2.11
2,"Green",2024-07-13,7H 13M 25S,22.87,7.06,79,56.8,4.3,2.46
2,"Green",2024-07-13,8H 13M 25S,22.88,7.04,78,57.2,4.34,2.4
2,"Green",2024-07-13,9H 13M 25S,22.93,7.03,77,57.4,4.35,2.22
2,"Green",2024-07-13,10H 13M 25S,23,7.07,76,52.3,3.95,2.24
2,"Green",2024-07-13,11H 13M 25S,23.06,7.05,76,54.3,4.1,2.15
2,"Green",2024-07-13,12H 13M 25S,23.14,7.04,76,54,4.07,1.98
2,"Green",2024-07-13,1H 13M 25S,23.25,7.05,76,55.2,4.15,2.09
2,"Green",2024-07-13,2H 13M 25S,23.36,7.02,76,58.6,4.4,2.11
2,"Green",2024-07-13,3H 13M 25S,23.59,7.03,75,57.8,4.32,2.16
2,"Green",2024-07-13,4H 13M 25S,23.63,7.04,74,57.2,4.28,2.18
2,"Green",2024-07-13,5H 13M 25S,23.69,7.04,73,53.4,3.98,2
2,"Green",2024-07-13,6H 13M 25S,23.79,7.01,73,59.2,4.41,2.04
2,"Green",2024-07-13,7H 13M 25S,23.72,7.03,72,58,4.33,2.09
2,"Green",2024-07-13,8H 13M 25S,23.65,7.02,72,56.6,4.22,2.17
2,"Green",2024-07-13,9H 13M 25S,23.56,7.04,71,55.6,4.16,2.21
2,"Green",2024-07-13,10H 13M 25S,23.51,7.02,71,54.1,4.05,1.88
2,"Green",2024-07-13,11H 13M 25S,23.43,7,71,57.6,4.32,2.19
2,"Green",2024-07-14,12H 13M 25S,23.36,6.99,71,58.4,4.39,2.07
2,"Green",2024-07-14,1H 13M 25S,23.31,7,70,56.8,4.27,2.13
2,"Green",2024-07-14,2H 13M 25S,23.28,7,70,53.9,4.06,1.92
2,"Green",2024-07-14,3H 13M 25S,23.28,7.02,70,52.6,3.95,2.16
2,"Green",2024-07-14,4H 13M 25S,23.2,6.98,70,57.9,4.36,2.08
2,"Green",2024-07-14,5H 13M 25S,23.15,6.97,70,56.7,4.27,2.21
2,"Green",2024-07-14,6H 13M 25S,23.14,6.97,69,57.8,4.36,2.1
2,"Green",2024-07-14,7H 13M 25S,23.12,6.97,69,57.7,4.35,2.11
2,"Green",2024-07-14,8H 13M 25S,23.16,6.96,69,57.3,4.32,2.18
2,"Green",2024-07-14,9H 13M 25S,23.21,6.99,69,52.9,3.99,2.19
2,"Green",2024-07-14,10H 13M 25S,23.3,6.97,68,57.1,4.29,2.12
2,"Green",2024-07-14,11H 13M 25S,23.4,7,68,51.6,3.87,2.06
2,"Green",2024-07-14,12H 13M 25S,23.53,6.98,68,53.9,4.03,2.05
2,"Green",2024-07-14,1H 13M 25S,23.97,6.96,69,58.3,4.33,2.09
2,"Green",2024-07-14,2H 13M 25S,23.93,6.97,68,56.6,4.2,1.87
2,"Green",2024-07-14,3H 13M 25S,24.04,6.98,68,54.5,4.04,1.84
2,"Green",2024-07-14,4H 13M 25S,24.14,6.97,68,54.4,4.03,1.81
